id,tipo_area,dettaglio,ora_inizio,ora_fine,disposizio,posti,municipio,longitudine,latitudine
5106,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2075729,45.4517489
5123,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1816659,45.4486002
5148,carico scarico merci,,08:00:00,20:00:00,linea,3,5,9.1800338,45.4463967
5151,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1803556,45.4464317
5162,carico scarico merci,merci,06:00:00,22:00:00,linea,3,1,9.1712584,45.4766396
5165,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1705104,45.4771967
5167,carico scarico merci,merci,08:00:00,20:00:00,pettine,3,5,9.1815093,45.4464841
5173,carico scarico merci,merci,10:00:00,12:30:00,linea,4,8,9.1682584,45.4819988
5206,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1694151,45.4605162
5221,carico scarico merci,merci,08:00:00,20:00:00,linea,2,8,9.168819,45.4825358
5266,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2099396,45.455685
5299,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2122327,45.4826355
5303,carico scarico merci,merci,08:00:00,20:00:00,spina,3,4,9.2086551,45.4557101
5314,carico scarico merci,merci,08:00:00,19:00:00,linea,1,4,9.2088499,45.4544928
5323,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2090222,45.4772964
5345,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2056645,45.4559752
5371,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.179438,45.4470558
5375,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1789832,45.4473242
5392,carico scarico merci,merci,06:00:00,19:00:00,linea,1,5,9.1771221,45.4473148
5427,carico scarico merci,merci,08:00:00,20:00:00,linea,1,3,9.2110993,45.4781744
5437,carico scarico merci,merci,05:00:00,07:00:00,linea,2,6,9.1745182,45.4509219
5464,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2236379,45.4624477
5552,carico scarico merci,merci,08:00:00,19:30:00,linea,2,9,9.1844904,45.4913988
5561,carico scarico merci,merci,08:00:00,20:00:00,linea,2,9,9.1837225,45.490528
5634,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2094518,45.4785173
5644,carico scarico merci,30 min,08:00:00,20:00:00,linea,2,3,9.2093591,45.4779853
5651,carico scarico merci,30 min,08:00:00,20:00:00,linea,3,3,9.2092769,45.4780647
5657,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2111235,45.4789392
5665,carico scarico merci,merci,08:00:00,20:00:00,linea,3,7,9.1539369,45.4706652
5667,carico scarico merci,merci,08:00:00,20:00:00,linea,4,5,9.1784669,45.4463856
5674,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1778579,45.4462822
5686,carico scarico merci,valori,08:00:00,20:00:00,linea,4,5,9.1795069,45.4476802
5688,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2109414,45.4794283
5692,carico scarico merci,merci,06:00:00,19:00:00,linea,3,5,9.1790754,45.4488787
5704,carico scarico merci,merci,08:00:00,20:00:00,linea,4,5,9.1798272,45.4491696
5713,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.179993,45.4503061
5715,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1800153,45.4505068
5718,carico scarico merci,merci,08:00:00,20:00:00,linea,4,5,9.180021,45.451694
5730,carico scarico merci,merci,08:00:00,20:00:00,linea,3,7,9.1483576,45.4755966
5737,carico scarico merci,merci,08:00:00,20:00:00,linea,2,7,9.1492977,45.4672692
5756,carico scarico merci,merci,11:00:00,15:00:00,linea,1,5,9.1862197,45.4502541
5760,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.210039,45.4793056
5774,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2031996,45.4528741
5791,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2037507,45.453889
5807,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2042838,45.4548326
5823,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2048123,45.4557976
5841,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2054443,45.456965
5850,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2061166,45.4582094
5858,carico scarico merci,merci,08:00:00,20:00:00,linea,3,4,9.2068653,45.4591329
5874,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2074942,45.4599284
5882,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2088985,45.460494
5887,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.2075805,45.4606923
5896,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.206245,45.4588003
5908,carico scarico merci,merci,08:00:00,20:00:00,linea,1,1,9.2051806,45.4570881
5917,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.2046387,45.4560875
5920,carico scarico merci,merci,08:00:00,20:00:00,linea,3,1,9.1739906,45.4797843
5925,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.203761,45.4544834
5931,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.2028585,45.4528174
5938,carico scarico merci,merci,10:00:00,12:30:00,linea,2,1,9.1755534,45.4799947
5956,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2101483,45.4685757
5984,carico scarico merci,merci,10:00:00,12:30:00,linea,2,1,9.1778287,45.4803018
6001,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2103534,45.4840399
6013,carico scarico merci,merci,08:00:00,20:00:00,linea,3,3,9.208881,45.4708067
6064,carico scarico merci,merci,08:00:00,20:00:00,linea,3,3,9.2115282,45.4708339
6068,carico scarico merci,merci,08:00:00,20:00:00,linea,1,3,9.2094262,45.4790858
6086,carico scarico merci,hotel,08:00:00,20:00:00,linea,3,3,9.2091212,45.4793249
6092,carico scarico merci,merci,08:00:00,19:30:00,linea,2,9,9.1844919,45.4905401
6128,carico scarico merci,merci,10:00:00,12:30:00,linea,3,1,9.1768886,45.4777973
6132,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1824161,45.4451968
6139,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.1820428,45.4441868
6153,carico scarico merci,merci,10:00:00,12:30:00,linea,2,1,9.1754512,45.4785328
6154,carico scarico merci,merci,08:00:00,20:00:00,linea,1,3,9.2122999,45.4794466
6167,carico scarico merci,30 min,08:00:00,20:00:00,linea,2,3,9.211592,45.4796608
6173,carico scarico merci,30 min,08:00:00,20:00:00,linea,2,1,9.173979,45.4791795
6180,carico scarico merci,merci,10:00:00,12:30:00,linea,2,1,9.1734328,45.4794371
6207,carico scarico merci,merci,10:00:00,12:30:00,pettine,5,1,9.1724805,45.4798804
6214,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1814502,45.4437097
6215,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1824508,45.4440181
6236,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1832299,45.4422199
6247,carico scarico merci,merci,10:00:00,12:30:00,linea,2,8,9.1708631,45.4816886
6266,carico scarico merci,merci,10:00:00,12:30:00,linea,2,8,9.1717841,45.4822509
6267,carico scarico merci,merci,08:00:00,19:00:00,linea,2,4,9.2075943,45.4582947
6276,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2079765,45.4577067
6367,carico scarico merci,merci,08:00:00,20:00:00,pettine,1,7,9.1445505,45.4759286
6368,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2089629,45.4565589
6379,carico scarico merci,merci,08:00:00,20:00:00,linea,1,7,9.1551484,45.4605378
6391,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.207101,45.4571936
6402,carico scarico merci,merci,08:00:00,20:00:00,linea,3,4,9.2071848,45.4574566
6408,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2068322,45.4578952
6426,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2070322,45.4523567
6451,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1708403,45.454594
